项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
周口配送-团仓店,三大区域,北部区域,存量,周口配送-团仓店,0.82,0,,0.82,0,0,0,,0,0,0,,0,0.82,0,,0,100.00%,,100.00%,,1.22,0,,0,1.19,0,,0,0,0,0,0,0,0,-1.59,0,0.00%,-1.59,0,-193.90%,,-193.90%,,148.99%,,,,0.67,-1,267.12%,,-1.3,-1,69.85%,,0,0,0,0,,,,,
长治配送,三大区域,北部区域,增量,长治配送,325.51,997.6,32.63%,-672.09,0,278.02,806.82,34.46%,0,0,0,,0,47.49,190.78,24.89%,0,14.59%,19.12%,-4.54%,,58.39,63.82,91.49%,0,91.81,62.99,145.75%,0,0,0,0,0,0,0,-102.71,63.97,-160.57%,-166.68,0,-31.55%,6.41%,-37.97%,,17.94%,6.40%,91.49%,,5.57,15.63,35.66%,,-1.76,1,-175.50%,,19.29,0,19.29,0,3.03,,,,
南阳配送,三大区域,北部区域,增量,南阳配送,400.89,"1,750.00",22.91%,"-1,349.11",0,325.9,"1,401.50",23.25%,0,0.43,0,,0,74.99,348.5,21.52%,0,18.71%,19.91%,-1.21%,,44.04,122.15,36.05%,0,41.9,131.87,31.77%,0,0.03,0,0,0.04,0,0,-11.4,94.48,-12.07%,-105.88,0,-2.84%,5.40%,-8.24%,,10.98%,6.98%,36.05%,,9.1,14.33,63.54%,,-0.26,0.77,-33.47%,,12.71,32.14,-19.43,0,3.46,,3.8,-0.34,
房山区配送,三大区域,北部区域,增量,房山区配送,0,"1,490.82",0.00%,"-1,490.82",0,0,"1,193.38",0.00%,0,0,0,,0,0,297.44,0.00%,0,,19.95%,-19.95%,,39.17,99.6,39.33%,0,7.55,125.73,6.00%,0,0,0,0,0,0,0,-46.71,72.11,-64.77%,-118.82,0,,4.84%,-4.84%,,,6.68%,39.33%,,0,14.97,0.00%,,-1.19,0.72,-164.71%,,2.29,0,2.29,0,17.14,,,,
玉门一中食堂,三大区域,北部区域,存量,玉门一中食堂,510.67,663,77.02%,-152.33,592.99,-0.14,0,,0,247.53,366,67.63%,311.47,263.28,297,88.65%,281.52,51.56%,44.80%,6.76%,47.47%,170.13,184.59,92.17%,184.6,54.64,50.26,108.72%,68.87,0,0,5.03,0.07,0,0,38.44,62.15,61.85%,-23.71,33.08,7.53%,9.37%,-1.85%,5.58%,33.32%,27.84%,92.17%,31.13%,3,3.59,83.57%,3.21,0.23,0.34,67.10%,0.18,47.57,57,-9.43,62.14,3.58,2.97,3.24,0.34,
玉门一中后勤,三大区域,北部区域,存量,玉门一中后勤,142.44,155.19,91.78%,-12.75,148,0,0,,0,0,0,,0,8.69,10.24,84.83%,23.39,6.10%,6.60%,-0.50%,15.80%,133.75,144.95,92.28%,124.61,6.02,1.49,403.47%,42.77,0,0,0,0,0,0,2.67,8.75,30.52%,-6.08,-19.38,1.87%,5.64%,-3.76%,-13.09%,93.90%,93.40%,92.28%,84.20%,1.06,1.07,99.47%,1.19,0.02,0.06,33.07%,-0.16,46.43,56,-9.57,53.14,2.88,2.34,2.59,0.29,
皓峰玉门一中店,三大区域,北部区域,存量,皓峰玉门一中店,323.42,343.88,94.05%,-20.46,299.38,230.18,243.42,94.56%,212.32,0,0,,0,93.24,100.46,92.82%,87.06,28.83%,29.21%,-0.38%,29.08%,20.81,22.36,93.09%,21.01,1.74,1.38,126.09%,1.68,0.08,0.06,0.07,0,0,0,70.77,76.78,92.17%,-6.01,64.44,21.88%,22.33%,-0.45%,21.52%,6.43%,6.50%,93.09%,7.02%,15.54,15.38,101.03%,14.25,3.4,3.43,99.01%,3.07,6.86,8,-1.14,8,3.04,2.63,2.79,0.24,
玉门一中项目本级,三大区域,北部区域,存量,玉门一中项目本级,0,0,,0,0,0.17,0,,0,0,0,,0,-0.17,0,,0,,,0.00%,,18.96,17.17,110.41%,13.72,1.34,0.39,345.32%,1.58,1.37,0,0.04,0,0,0,-19.09,-17.56,91.26%,-1.53,-15.26,,,0.00%,,,,110.41%,,0,0,,0,-1.01,-1.02,101.51%,-1.11,2,2,0,0.57,9.48,24.01,8.58,0.89,
兰州新区餐饮项目,三大区域,北部区域,增量,兰州新区餐饮项目,332.06,467.8,70.98%,-135.74,0,0,0,,0,211.64,269.21,78.61%,0,120.42,198.59,60.64%,0,36.27%,42.45%,-6.19%,,107.04,77.95,137.32%,0,35.3,68.47,51.55%,0,0.22,0,0,0.01,0,0,-21.69,52.17,-41.58%,-73.86,0,-6.53%,11.15%,-17.68%,,32.24%,16.66%,137.32%,,3.1,6,51.69%,,-0.2,0.67,-30.28%,,28.29,22.29,6,0,3.78,,3.5,0.29,
兰州新区便利店项目,三大区域,北部区域,增量,兰州新区便利店项目,203.12,120,169.27%,83.12,0,149.53,86.73,172.40%,0,0,0,,0,53.59,33.27,161.09%,0,26.38%,27.72%,-1.34%,,10.38,9.75,106.49%,0,2.16,0.51,422.12%,0,0.5,0,0,0.01,0,0,41.54,23,180.57%,18.54,0,20.45%,19.17%,1.28%,,5.11%,8.12%,106.49%,,19.56,12.31,158.95%,,4,2.36,169.56%,,4.29,2.86,1.43,0,2.42,,3.41,-0.99,
腾飞路小学食堂,三大区域,北部区域,增量,腾飞路小学食堂,201.78,206.02,97.94%,-4.24,0,0,0,,0,107.92,121.67,88.70%,0,93.86,84.35,111.27%,0,46.52%,40.94%,5.57%,,54.4,58.2,93.48%,0,11.67,9.8,119.06%,0,0.1,0,0,0,0,0,27.89,16.36,170.52%,11.53,0,13.82%,7.94%,5.88%,,26.96%,28.25%,93.48%,,3.71,3.54,104.77%,,0.51,0.28,182.42%,,16.57,21.71,-5.14,0,3.28,,2.68,0.6,
周口示范区物业,三大区域,北部区域,增量,周口示范区物业,177.45,201,88.28%,-23.55,0,0,0,,0,0,0,,0,29.27,20.29,144.26%,0,16.49%,10.09%,6.40%,,148.18,180.71,82.00%,0,11.22,1.25,897.96%,0,0,0,0,0,0,0,18.05,19.04,94.81%,-0.99,0,10.17%,9.47%,0.70%,,83.51%,89.91%,82.00%,,1.2,1.11,107.66%,,0.12,0.11,115.62%,,13,0,13,0,11.4,,,,
达拉特旗校服,三大区域,北部区域,存量,达拉特旗校服,5.2,50,10.40%,-44.8,25.55,1.5,47,3.19%,0,0,0,,0,3.7,3,123.38%,25.55,71.18%,6.00%,65.18%,100.00%,0,0,,0,0,0,,0,0,0,0,0,0,0,3.7,3,123.33%,0.7,25.55,71.15%,6.00%,65.15%,100.00%,0.00%,0.00%,,0.00%,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
北部新拓配送业务2,三大区域,北部区域,增量,北部新拓配送业务2,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
北部新拓配送业务3,三大区域,北部区域,增量,北部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西安吉利便利店,三大区域,北部区域,存量,西安吉利便利店,0,0,,0,38.48,0,0,,28.19,0,0,,0,0,0,,10.29,,,0.00%,26.75%,0,0,,7.94,1.18,1.31,90.04%,18.43,0,0,0.02,3.73,0,0,-4.91,-1.31,-175.87%,-3.6,-16.06,,,0.00%,-41.75%,,,,20.63%,-1,-1,100.00%,4.85,-1,-1,100.00%,-2.02,0,0,0,2.57,,3.09,,,
北部区域总经理室,三大区域,北部区域,区域管理部门,北部区域总经理室,3.39,0,,3.39,0,0,0,,0.07,0,0,,0,3.39,0,,-0.07,100.00%,,100.00%,,127.22,107.34,118.51%,62.52,60.96,21.47,283.89%,22.47,0,0,0,0,0,0,-184.79,-128.82,56.55%,-55.97,-85.06,-5451.03%,,-5451.03%,,3752.72%,,118.51%,,0.03,0,,0,-1.45,-1.2,78.96%,-1.36,9.86,7,2.86,3.86,12.91,16.21,15.33,-2.43,
东部区域,三大区域,东部区域,,,"6,994.16","10,497.76",66.63%,"-3,503.60",811.5,"5,590.97","8,133.77",68.74%,473.06,46.26,76.18,60.72%,83.35,"1,356.93","2,287.81",59.31%,255.08,19.40%,21.79%,-2.39%,31.43%,"1,039.43","1,085.41",95.76%,291.04,499.46,624.04,80.04%,53.74,2.71,0,0.34,0.06,0,0.78,-179.31,578.36,-31.00%,-757.67,-90.13,-2.56%,5.51%,-8.07%,-11.11%,14.86%,10.34%,95.76%,35.86%,6.73,9.67,69.57%,2.79,-0.17,0.53,-32.37%,-0.31,257.43,204.43,53,58.57,4.04,4.97,5.31,-1.27,营收/利润取值
亳州配送,三大区域,东部区域,存量,亳州配送,"4,506.07","3,948.14",114.13%,557.93,0,"3,884.48","3,226.90",120.38%,0,0,0,,0,621.59,721.24,86.18%,0,13.79%,18.27%,-4.47%,,207.9,258.06,80.56%,0,271.05,227.38,119.21%,0,2.68,0,0,0.01,0,0,145.3,235.8,61.62%,-90.5,0,3.22%,5.97%,-2.75%,,4.61%,6.54%,80.56%,,21.67,15.3,141.67%,,0.7,0.91,76.48%,,59.43,62,-2.57,0,3.5,,4.16,-0.66,
嘉祥配送,三大区域,东部区域,存量,嘉祥配送,"1,066.32","1,173.00",90.91%,-106.68,480.34,972.24,"1,046.37",92.92%,464.39,0,0,,0,94.08,126.63,74.30%,15.95,8.82%,10.80%,-1.97%,3.32%,67.61,74.03,91.32%,44.21,36.89,34.2,107.86%,30.48,0,0,0,0.02,0,0,-10.44,18.39,-56.76%,-28.83,-58.75,-0.98%,1.57%,-2.55%,-12.23%,6.34%,6.31%,91.32%,9.20%,15.77,15.84,99.54%,10.86,-0.15,0.25,-62.15%,-1.33,15.14,19,-3.86,13.29,4.46,3.33,3.9,0.57,
利辛配送,三大区域,东部区域,存量,利辛配送,826.76,"1,342.06",61.60%,-515.3,0,691.77,"1,116.88",61.94%,0,0.56,0,,0,134.99,225.18,59.95%,0,16.33%,16.78%,-0.45%,,67.19,66.66,100.80%,0,84.6,112.53,75.18%,0,0,0,0,0.02,0,0,-17.37,45.99,-37.77%,-63.36,0,-2.10%,3.43%,-5.53%,,8.13%,4.97%,100.80%,,12.3,20.13,61.12%,,-0.26,0.69,-37.47%,,11.29,0,11.29,0,5.95,,,,
鸠江配送,三大区域,东部区域,增量,鸠江配送,42.4,970.5,4.37%,-928.1,0,39.63,786.16,5.04%,0,0,0,,0,2.77,184.34,1.50%,0,6.54%,18.99%,-12.46%,,10.14,55,18.44%,0,7.69,57.64,13.34%,0,0,0,0,0,0,0,-15.05,71.7,-20.99%,-86.75,0,-35.50%,7.39%,-42.88%,,23.91%,5.67%,18.44%,,4.18,17.65,23.70%,,-1.48,1.3,-113.86%,,0.57,0,0.57,0,17.74,,,,
武夷山餐饮项目,三大区域,东部区域,存量,武夷山餐饮项目,85.9,148.26,57.94%,-62.36,169.49,0,0,,0,42.97,76.18,56.40%,83.35,42.93,72.08,59.56%,86.13,49.98%,48.62%,1.36%,50.82%,25.15,31.58,79.64%,33.22,5.81,7.48,77.66%,0.5,0,0,0.17,0,0,0,11.97,33.02,36.25%,-21.05,52.59,13.93%,22.27%,-8.33%,31.03%,29.28%,21.30%,79.64%,19.60%,3.42,4.69,72.75%,5.1,0.48,1.05,45.52%,1.58,5.29,9.86,-4.57,8,4.76,4.15,3.2,1.55,
武夷山物业项目,三大区域,东部区域,存量,武夷山物业项目,13.02,15.36,84.77%,-2.34,50.92,0,0,,0,0,0,,0,0.38,0.2,188.21%,4.72,2.95%,1.33%,1.62%,9.28%,12.64,15.16,83.37%,46.2,0,0,,0.23,0,0,0,0,0,0,0.38,0.2,185.89%,0.18,4.49,2.92%,1.33%,1.59%,8.83%,97.05%,98.67%,83.37%,90.72%,1.03,1.01,101.67%,1.1,0.03,0.01,222.97%,0.1,3.71,13.71,-10,12.14,3.4,3.8,1.11,2.3,
武夷山便利店项目,三大区域,东部区域,存量,武夷山便利店项目,3.63,35,10.37%,-31.37,25.27,2.85,24.5,11.64%,8.67,0,0,,0,0.78,10.5,7.41%,16.6,21.44%,30.00%,-8.56%,65.68%,2.55,2.51,101.37%,4.62,0.7,2.93,23.91%,2.18,0.03,0,0.16,0,0,0,-2.44,5.06,-48.24%,-7.5,9.96,-67.22%,14.45%,-81.67%,39.42%,70.12%,7.17%,101.37%,18.26%,1.43,13.94,10.23%,5.48,-0.96,2.01,-47.59%,2.16,0.86,1,-0.14,1.71,2.97,2.69,2.51,0.46,
亳州食堂雇员派遣,三大区域,东部区域,增量,亳州食堂雇员派遣,450.07,360,125.02%,90.07,0,0,0,,0,2.73,0,,0,-79.1,53.71,-147.27%,0,-17.57%,14.92%,-32.49%,,529.17,306.29,172.76%,0,40.65,25.08,162.07%,0,0,0,0,0,0,0,-122.48,28.62,-427.90%,-151.1,0,-27.21%,7.95%,-35.16%,,117.57%,85.08%,172.76%,,0.85,1.18,72.36%,,-0.23,0.09,-247.68%,,152,65.29,86.71,0,3.48,,4.69,-1.21,
济宁高新区配送,三大区域,东部区域,增量,济宁高新区配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务1,三大区域,东部区域,增量,东部新拓配送业务1,0,"2,505.44",0.00%,"-2,505.44",0,0,"1,932.96",0.00%,0,0,0,,0,0,572.48,0.00%,0,,22.85%,-22.85%,,0,153.66,0.00%,0,0,130.19,0.00%,0,0,0,0,0,0,0,0,288.63,0.00%,-288.63,0,,11.52%,-11.52%,,,6.13%,0.00%,,-1,16.31,-6.13%,,-1,1.88,-53.24%,,0,26,-26,0,,,5.91,,
东部新拓配送业务3,三大区域,东部区域,增量,东部新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
东部新拓配送业务5,三大区域,东部区域,增量,东部新拓配送业务5,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
帕瓦项目,三大区域,东部区域,存量,帕瓦项目,0,0,,0,85.48,0,0,,0,0,0,,0,-1.49,0,,-11.95,,,0.00%,-13.98%,1.49,0,,97.43,0.26,0,,1.27,0,0,0,0,0,0.78,-1.74,0,0.00%,-1.74,-14,,,0.00%,-16.38%,,,,113.98%,0,-1,200.00%,0.88,-1.17,-1,83.05%,-0.14,0,0,0,19.86,,4.91,,,
东部区域总经理室,三大区域,东部区域,区域管理部门,东部区域总经理室,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,115.61,122.45,94.41%,65.36,51.82,26.6,194.78%,19.07,0,0,0,0,0,0,-167.43,-149.06,87.67%,-18.37,-84.43,,,0.00%,,,,94.41%,,0,0,,0,-1.45,-1.22,81.02%,-1.29,9.14,7.57,1.57,3.57,12.64,18.3,16.17,-3.53,
商业业务,商业业务,,,,"7,187.68","6,846.29",104.99%,341.39,"8,188.10","4,065.71","4,201.43",96.77%,"5,914.31",2.42,0,,0.1,"3,119.54","2,644.86",117.95%,"2,273.69",43.40%,38.63%,4.77%,27.77%,502.94,547.48,91.86%,417.58,213.67,184.35,115.90%,118.04,0.87,0,1.28,0.58,0,0.04,"2,403.23","1,913.03",125.62%,490.2,"1,739.31",33.44%,27.94%,5.49%,21.24%,7.00%,8.00%,91.86%,5.10%,14.29,12.51,114.28%,19.61,4.78,3.49,136.75%,4.17,90.57,109.86,-19.29,98.14,5.55,4.25,4.98,0.57,营收/利润取值
后勤数智零售部,商业业务,科创发展中心,后勤数智零售部,后勤数智零售部,646.99,524.15,123.44%,122.84,545.12,-6.51,0,,1.21,0,0,,-0.39,653.5,524.15,124.68%,544.29,101.01%,100.00%,1.01%,99.85%,93.66,81.51,114.91%,86.1,143.57,112.44,127.69%,51.37,0,0,0.68,0.57,0,0.04,415.69,330.2,125.89%,85.49,407.46,64.25%,63.00%,1.25%,74.75%,14.48%,15.55%,114.91%,15.80%,6.91,6.43,107.42%,6.33,4.44,4.05,109.56%,4.73,6.86,8,-1.14,10.29,13.66,8.37,10.19,3.47,
线上商城业务,商业业务,线上商城业务,线上商城业务,线上商城业务,"1,616.73","1,593.00",101.49%,23.73,"3,071.43",794.68,"1,044.50",76.08%,"2,894.65",0,0,,0.04,822.05,548.5,149.87%,176.75,50.85%,34.43%,16.41%,5.75%,68.01,111,61.27%,15.74,27.56,30.2,91.25%,16.82,0,0,0,0,0,0,726.48,407.29,178.37%,319.19,144.19,44.94%,25.57%,19.37%,4.69%,4.21%,6.97%,61.27%,0.51%,23.77,14.35,165.64%,195.15,10.68,3.67,291.12%,9.16,7.43,13.14,-5.71,2.57,9.16,6.12,8.45,0.71,
线下商超-便利店,商业业务,线下商超-便利店,,,"4,313.80","4,095.29",105.34%,218.51,"3,931.89","2,916.34","2,751.21",106.00%,"2,604.46",0,0,,0.39,"1,397.46","1,344.08",103.97%,"1,327.04",32.40%,32.82%,-0.43%,33.75%,280.89,291.88,96.23%,260.61,37.87,39.13,96.78%,40.46,0.87,0,0.6,0,0,0,"1,079.57","1,013.07",106.56%,66.5,"1,026.57",25.03%,24.74%,0.29%,26.11%,6.51%,7.13%,96.23%,6.63%,15.36,14.03,109.46%,15.09,3.84,3.47,110.74%,3.94,65.14,75.71,-10.57,72.71,4.31,3.58,3.86,0.46,
皓峰初中店,商业业务,线下商超-便利店,两校一园便利店,皓峰初中店,531.28,534.67,99.37%,-3.39,520.28,352.07,358.44,98.22%,345.03,0,0,,0,179.21,176.23,101.69%,175.24,33.73%,32.96%,0.77%,33.68%,34.84,32.82,106.15%,27.98,3.71,2.74,135.75%,2.81,0,0,0,0,0,0,140.66,140.67,99.99%,-0.01,144.46,26.48%,26.31%,0.17%,27.77%,6.56%,6.14%,106.15%,5.38%,15.25,16.29,93.61%,18.6,4.04,4.29,94.20%,5.16,7.71,8,-0.29,7.43,4.52,3.77,4.1,0.41,
皓峰高复中心店,商业业务,线下商超-便利店,两校一园便利店,皓峰高复中心店,36.28,59.99,60.48%,-23.71,0,25.1,41.99,59.77%,0,0,0,,0,11.18,18,62.13%,0,30.82%,30.00%,0.82%,,4.25,6.8,62.47%,0,1.38,1.24,111.28%,0,0,0,0,0,0,0,5.55,9.95,55.76%,-4.4,0,15.30%,16.59%,-1.29%,,11.72%,11.34%,62.47%,,8.53,8.82,96.80%,,1.31,1.46,89.26%,,0.86,1.71,-0.86,0,4.96,,3.97,0.99,
皓峰高中店,商业业务,线下商超-便利店,两校一园便利店,皓峰高中店,502.58,490.06,102.55%,12.52,488.78,332.9,329.32,101.09%,327.06,0,0,,0,169.68,160.74,105.56%,161.72,33.76%,32.80%,0.96%,33.09%,25.86,27.68,93.45%,26.47,5.25,3.06,171.74%,4.03,0,0,0,0,0,0,138.57,130.01,106.59%,8.56,131.22,27.57%,26.53%,1.04%,26.85%,5.15%,5.65%,93.45%,5.42%,19.43,17.71,109.75%,18.46,5.36,4.7,114.06%,4.96,6,7,-1,7,4.31,3.78,3.95,0.36,
皓峰国际店,商业业务,线下商超-便利店,两校一园便利店,皓峰国际店,218.7,209,104.64%,9.7,205.4,144.25,138.96,103.81%,135.99,0,0,,0,74.45,70.04,106.30%,69.41,34.04%,33.51%,0.53%,33.79%,17.58,19.77,88.94%,16.93,1.76,1.97,89.27%,1.57,0,0,0,0,0,0,55.11,48.3,114.10%,6.81,50.91,25.20%,23.11%,2.09%,24.79%,8.04%,9.46%,88.94%,8.24%,12.44,10.57,117.66%,12.13,3.13,2.44,128.30%,3.01,4.14,5,-0.86,5,4.24,3.39,3.95,0.29,
皓峰教工店,商业业务,线下商超-便利店,两校一园便利店,皓峰教工店,81.64,84.13,97.04%,-2.49,79.89,63.9,62.68,101.94%,53.2,0,0,,0.39,17.74,21.45,82.69%,26.3,21.73%,25.50%,-3.77%,32.92%,20.31,18.74,108.34%,18.82,2.19,1.81,120.72%,2,0,0,0,0,0,0,-4.76,0.9,-530.23%,-5.66,5.48,-5.83%,1.07%,-6.90%,6.86%,24.87%,22.28%,108.34%,23.55%,4.02,4.49,89.56%,4.25,-0.23,0.05,-489.40%,0.29,4.57,5,-0.43,5,4.44,3.76,3.75,0.69,
皓峰私高店,商业业务,线下商超-便利店,两校一园便利店,皓峰私高店,961.03,830,115.79%,131.03,839.56,657.47,544.48,120.75%,537.72,0,0,,0,303.56,285.52,106.32%,301.84,31.59%,34.40%,-2.81%,35.95%,44.87,43.36,103.48%,39.34,5.36,2.8,191.65%,3.71,0,0,0,0,0,0,253.33,239.36,105.84%,13.97,258.79,26.36%,28.84%,-2.48%,30.82%,4.67%,5.22%,103.48%,4.69%,21.42,19.14,111.90%,21.34,5.65,5.52,102.28%,6.58,9.43,11,-1.57,11,4.76,3.58,3.94,0.82,
皓峰天马店,商业业务,线下商超-便利店,两校一园便利店,皓峰天马店,253.97,329.9,76.98%,-75.93,345.61,169.21,221.79,76.29%,228.56,0,0,,0,84.76,108.11,78.40%,117.05,33.37%,32.77%,0.60%,33.87%,26.5,27.62,95.96%,26.25,2.6,1.76,147.59%,2.27,0,0,0,0,0,0,55.66,78.73,70.69%,-23.07,88.53,21.92%,23.87%,-1.95%,25.62%,10.44%,8.37%,95.96%,7.60%,9.58,11.95,80.22%,13.17,2.1,2.85,73.67%,3.37,6,7,-1,7,4.42,3.75,3.95,0.47,
皓峰综合店,商业业务,线下商超-便利店,两校一园便利店,皓峰综合店,440.96,481.35,91.61%,-40.39,429.22,289.76,323.27,89.63%,287.14,0,0,,0,151.2,158.07,95.65%,142.09,34.29%,32.84%,1.45%,33.10%,30.42,36.14,84.18%,35.09,5.01,3.97,126.12%,4.66,0,0,0,0,0,0,115.78,117.97,98.15%,-2.19,102.34,26.26%,24.51%,1.75%,23.84%,6.90%,7.51%,84.18%,8.18%,14.49,13.32,108.82%,12.23,3.81,3.26,116.59%,2.92,7.71,10,-2.29,10.29,3.94,3.41,3.61,0.33,
皓峰宁海1店,商业业务,线下商超-便利店,异地便利店,皓峰宁海1店,463.08,361.4,128.13%,101.68,333.42,307.89,243.8,126.29%,222.93,0,0,,0,155.19,117.6,131.96%,110.49,33.51%,32.54%,0.97%,33.14%,14.24,14.79,96.30%,12.42,-6.97,1.07,-649.74%,3.87,0.23,0,0.22,0,0,0,148.15,101.74,145.62%,46.41,94.41,31.99%,28.15%,3.84%,28.32%,3.08%,4.09%,96.30%,3.73%,32.51,24.43,133.05%,26.84,10.4,6.88,151.21%,7.6,3.43,4,-0.57,3.86,4.15,3.22,3.7,0.46,
皓峰宁海2店,商业业务,线下商超-便利店,异地便利店,皓峰宁海2店,88.51,78.33,112.99%,10.18,76.36,63.04,52.09,121.02%,48.69,0,0,,0,25.47,26.24,97.05%,27.67,28.77%,33.50%,-4.73%,36.24%,13.73,13.66,100.52%,11.1,0.74,0.96,76.84%,1.96,0,0,0,0,0,0,11,11.62,94.64%,-0.62,14.61,12.43%,14.84%,-2.41%,19.13%,15.52%,17.44%,100.52%,14.54%,6.45,5.73,112.41%,6.88,0.8,0.85,94.15%,1.32,3.43,4,-0.57,3.14,4.01,3.53,3.42,0.59,
皓峰文成店,商业业务,线下商超-便利店,异地便利店,皓峰文成店,37.29,29.3,127.27%,7.99,32.24,25.72,19.63,131.03%,19.53,0,0,,0,11.57,9.67,119.63%,12.71,31.02%,33.00%,-1.98%,39.42%,2.38,2.85,83.52%,3.22,0.2,2.98,6.59%,0.4,0,0,0.05,0,0,0,8.99,3.84,234.03%,5.15,9.14,24.11%,13.11%,11.00%,28.36%,6.39%,9.73%,83.52%,10.00%,15.65,10.27,152.38%,10,3.77,1.35,280.21%,2.84,0.86,1,-0.14,1,2.78,3.22,2.85,-0.07,
皓峰芜湖店,商业业务,线下商超-便利店,异地便利店,皓峰芜湖店,139.96,123.83,113.03%,16.13,113.81,92.56,84.4,109.67%,78.17,0,0,,0,47.4,39.43,120.22%,35.64,33.87%,31.84%,2.03%,31.32%,7.2,7.7,93.56%,7.09,0.5,0.13,374.02%,3.82,0.24,0,0.18,0,0,0,39.93,31.59,126.39%,8.34,24.91,28.53%,25.51%,3.02%,21.89%,5.15%,6.22%,93.56%,6.23%,19.43,16.08,120.81%,16.06,5.54,4.1,135.09%,3.51,1.71,2,-0.29,2,4.2,3.54,3.85,0.35,
皓峰仙桃店,商业业务,线下商超-便利店,异地便利店,皓峰仙桃店,457.32,392,116.66%,65.32,375.66,326.28,268.17,121.67%,257.25,0,0,,0,131.04,123.83,105.82%,118.42,28.65%,31.59%,-2.94%,31.52%,27.48,30.81,89.18%,27.65,10.2,5.78,176.52%,8.4,0.15,0,0,0,0,0,93.51,87.24,107.18%,6.27,82.38,20.45%,22.26%,-1.81%,21.93%,6.01%,7.86%,89.18%,7.36%,16.64,12.72,130.82%,13.59,3.4,2.83,120.19%,2.98,6.86,8,-1.14,8,4.01,3.46,3.85,0.16,
皓峰镇江店,商业业务,线下商超-便利店,异地便利店,皓峰镇江店,78.56,91.32,86.03%,-12.76,91.65,51.59,62.17,82.99%,63.2,0,0,,0,26.97,29.15,92.51%,28.45,34.32%,31.92%,2.40%,31.04%,8.19,9.13,89.64%,8.24,5.96,8.87,67.18%,0.97,0.24,0,0.15,0,0,0,13.06,11.14,117.24%,1.92,19.39,16.62%,12.20%,4.43%,21.16%,10.42%,10.00%,89.64%,9.00%,9.59,10,95.97%,11.12,1.6,1.22,130.79%,2.35,1.71,2,-0.29,2,4.78,4.12,4.57,0.21,
宁海公学文创店,商业业务,线下商超-便利店,异地便利店,宁海公学文创店,22.65,0,,22.65,0,14.59,0,,0,0,0,,0,8.06,0,,0,35.59%,,35.59%,,3.02,0,,0,0,0,,0,0,0,0,0,0,0,5.04,0,0.00%,5.04,0,22.25%,,22.25%,,13.35%,,,,7.49,-1,948.93%,,1.67,-1,366.65%,,0.71,0,0.71,0,4.23,,,,
